chr	position	value
9	22549000	1.019
10	0	0.6514
10	775000	0.4708
10	878000	0.463
10	908000	0.6319
10	970000	0.5318
10	1227000	0.3991
10	1265000	0.2899
10	1315000	0.3207
10	2301000	0.3057
10	2556000	0.3269
10	2636000	0.4856
10	3524000	0.2455
10	4114000	0.1891
10	4938000	0.1906
10	5294000	0.1726
10	5334000	0.2442
10	5385000	0.4343
10	5482000	0.5023
10	6422000	0.4959
10	6891000	0.5023
10	8113000	0.4964
10	8214000	0.4916
10	8503000	0.5023
10	9189000	0.5641
10	9286000	0.56
10	9559000	0.5641
10	10316000	0.5154
10	11174000	0.4908
10	11367000	0.638
10	11524000	0.69
10	11566000	0.6902
10	11587000	0.69
10	11646000	0.69
10	11711000	1.1213
10	11822000	1.1179
10	11857000	0.8961
10	11944000	1.0793
10	12001000	0.9512
10	12903000	0.7889
10	12979000	1.2658
10	13039000	1.4527
10	13085000	1.8206
10	13727000	2.5387
10	13757000	2.532
10	13905000	1.7315
10	14129000	1.9114
10	14393000	1.315
10	14473000	1.7254
10	14520000	1.472
10	14556000	1.6335
10	14570000	1.6218
10	14578000	1.8884
10	14648000	1.7404
10	14765000	1.9059
10	14810000	1.6601
10	14967000	1.6866
10	15627000	1.877
10	15799000	1.8781
10	16001000	1.9452
10	16107000	1.9691
10	16163000	1.4857
10	16197000	1.4667
10	16386000	1.4587
10	16614000	1.7682
10	16880000	1.7624
10	17341000	2.0412
10	17395000	1.0955
10	17860000	1.2691
10	18009000	1.5146
10	18198000	1.7237
10	18513000	1.116
10	18582000	0.766
10	18748000	0.7677
10	18849000	0.9203
10	19151000	0.7459
10	19304000	0.7938
10	19674000	0.8256
10	19875000	0.8637
10	19934000	1.4772
10	20198000	1.2206
10	20753000	0.9923
10	21087000	1.1333
10	21663000	1.1471
10	21716000	0.3105
10	21736000	0.3711
10	21795000	0.4549
10	21918000	0.5151
10	21986000	0.3234
10	22070000	0.4863
10	22172000	0.5975
10	22214000	0.3992
10	22304000	0.3966
10	22382000	0.3771
10	22523000	0.3829
10	22581000	0.3372
10	22660000	0.443
10	22797000	0.3572
10	22838000	0.2039
11	0	0.1092
11	222000	0.1267
11	371000	0.2001
11	632000	0.5076
11	702000	0.4898
11	799000	0.5069
11	1014000	0.3906
11	1165000	0.3114
11	1267000	0.7953
11	1657000	0.822
11	1911000	0.6312
11	1928000	0.6631
11	2374000	0.3634
11	2426000	0.1911
11	2470000	0.2017
11	2661000	0.2517
11	2685000	0.3574
11	2816000	0.3621
11	2923000	0.2401
11	2949000	0.2404
11	3015000	0.2401
11	3102000	0.3249
11	3173000	0.5757
11	3578000	0.6417
11	3613000	0.6921
11	3760000	0.8598
11	3857000	0.3708
11	3911000	0.3005
11	4290000	0.7005
11	4324000	0.8435
11	4339000	1.0601
11	4422000	0.8183
11	4692000	0.6297
11	5016000	0.8977
11	5443000	0.9024
11	5563000	0.7485
11	5747000	0.9288
11	5832000	0.7959
11	5844000	1.2611
11	6655000	1.4394
11	7034000	1.462
11	7110000	1.5316
11	7498000	1.6165
11	7581000	1.6308
11	7664000	1.0876
11	7816000	0.9868
11	7852000	1.128
11	7949000	1.8843
11	8858000	2.2094
11	9001000	2.5404
11	9031000	3.1591
11	9294000	3.1903
11	9441000	3.1312
11	9586000	2.6772
11	9729000	2.8603
11	9767000	3.1073
11	10089000	2.9664
11	10621000	3.0969
11	10681000	2.7253
11	10941000	2.7212
11	11660000	2.7073
11	11912000	2.7212
11	13801000	2.862
11	14231000	2.7213
11	15387000	2.7378
11	15745000	2.5281
11	15888000	2.7141
11	16313000	2.7539
11	16460000	2.7142
11	16549000	2.7937
11	17048000	2.951
11	17157000	2.9353
11	17337000	3.033
11	17806000	2.9626
11	17859000	2.9625
11	17894000	2.0906
11	17965000	1.1822
11	18199000	1.2391
11	18316000	1.7597
11	18481000	1.8133
11	18779000	1.208
11	18811000	1.2078
11	18852000	1.222
11	18882000	1.1699
11	19062000	1.3948
11	19091000	1.4345
11	19137000	0.905
11	19230000	1.0331
11	19426000	1.0694
11	19468000	1.0796
11	19528000	1.0115
11	19637000	1.1782
11	20091000	1.1036
11	20177000	1.1082
11	20338000	1.1432
11	20588000	1.2074
11	20767000	1.0423
11	20788000	1.0392
11	21256000	1.0769
11	21290000	1.0719
11	21504000	1.1687
11	21583000	0.8907
11	21786000	0.7859
11	22042000	0.7599
11	22140000	0.1424
11	22547000	0.0245
11	22586000	0.0569
11	22608000	0.0255
11	22766000	0.066
11	22800000	0.0383
11	22895000	0.0383
11	22935000	0.0383
11	23041000	0.0089
11	23265000	0.0188
11	23654000	0.0217
11	23823000	0.0433
11	23983000	0.0004
11	24249000	0.0516
11	24375000	0.0547
11	24442000	0.0292
11	24547000	0.047
11	24658000	0.0276
11	24679000	0.0303
11	24703000	0.04
11	24743000	0.0698
11	24760000	0.1395
11	24795000	0.19
11	24978000	0.1816
11	25156000	0.2407
11	25793000	0.1136
11	25911000	0.0772
11	25957000	0.0479
11	25991000	0.0194
11	26032000	0.0032
11	26136000	0.0018
11	26511000	0.0016
11	26553000	0.0063
11	26645000	0.013
11	26709000	0.0259
11	26750000	0.0041
11	26780000	0.0041
11	26820000	0.0623
11	26860000	0.0622
11	26883000	0.0577
11	27367000	0.0573
11	27380000	0.0514
11	27958000	0.0214
11	28250000	0.0414
11	28291000	0.0805
11	28344000	0.0807
12	0	0.0696
12	724000	0.1412
12	1165000	0.2238
12	1191000	0.3866
12	3009000	0.4265
12	3056000	0.4686
12	3134000	0.2793
12	3842000	0.0011
12	4748000	0.3637
12	5378000	0.3288
12	7200000	0.3891
12	7392000	0.2058
12	7408000	0.1836
12	7651000	0.1254
12	7924000	0.069
12	8859000	0.1181
12	9801000	0.1046
12	10738000	0.1054
12	10758000	0.1046
12	10771000	0.1252
12	10799000	0.1506
12	11776000	0.1967
12	12062000	0.1507
12	14546000	0.1481
12	14674000	0.1092
12	16255000	0.0617
12	16364000	0.1076
12	16461000	0.1087
12	17398000	0.0029
12	17608000	0.0018
12	17635000	0.0038
12	17955000	0.0064
12	18243000	0.0319
12	18300000	0.0321
12	18361000	0.042
12	18592000	0.0477
12	19087000	0.0714
12	19160000	0.1148
12	19448000	0.2264
12	19534000	0.2553
12	19677000	0.0883
12	19820000	0.0753
12	19884000	0.029
12	20022000	0.2717
12	21145000	0.1256
12	21329000	0.0996
12	21590000	0.0866
12	21728000	0.1434
12	22018000	0.1797
12	22448000	0.2465
12	22563000	0.2488
12	22936000	0.2474
12	23052000	0.2499
12	23394000	0.0806
12	23479000	0.0461
12	23581000	0.0673
12	23886000	0.0062
12	23900000	0.0014
12	23966000	0.005
12	24076000	0.0121
12	24122000	0.04
12	24440000	0.0233
12	24521000	0.0295
12	24567000	0.0202
12	24707000	0.0118
12	24856000	0.008
12	25248000	0.0098
12	25277000	0.0003
12	25310000	0.0374
12	25351000	0.003
12	25603000	0.0055
12	25641000	0.0055
12	25801000	0.1532
12	26078000	0.2554
12	26322000	0.2537
12	26395000	0.2654
12	26521000	0.266
12	26664000	0.2655
12	27016000	0.3658
