chrX	posX	chrY	posY	color
7	17526000	Chr07	17454087	25.581
9	7753000	Chr09	3047176	17.582
6	11460000	Chr06	11130536	10.59
3	29182000	Chr03	28958701	29.08
10	20825000	Chr05	28376982	6.475
9	9520000	Chr03	5634797	5.656
8	17580000	Chr10	10787346	40
5	2045000	Chr09	20970304	6.37
6	7176000	Chr11	21132197	5.163
3	24681000	Chr03	24833616	39.582
6	19707000	Chr06	19697582	24.183
11	17015000	Chr11	17259596	12.439
11	2430000	Chr11	2338558	5.512
3	3224000	Chr03	3347738	14.565
2	7590000	Chr01	18946340	5.88
5	21417000	Chr02	29363965	5.151
7	1303000	Chr07	1640846	21.772
6	7807000	Chr06	7833150	40
12	25344000	Chr12	25689083	19.154
4	30614000	Chr04	30846806	18.596
11	2474000	Chr11	2656186	24.431
12	1166000	Chr11	622464	19.771
9	1319000	Chr09	3615826	20.261
3	17420000	Chr03	11276249	6.071
9	9369000	Chr08	1006721	5.836
1	18332000	Chr01	14437690	6.861
2	20284000	Chr12	26450373	25.889
4	22353000	Chr10	19664615	7.363
8	3758000	Chr10	14848040	6.496
1	20924000	Chr01	36935453	17.32
4	22610000	Chr01	8161615	5.717
5	26927000	Chr05	27063514	12.524
10	1266000	Chr10	406085	10.954
11	18665000	Chr11	18586210	32.848
11	24715000	Chr11	24770168	12.214
12	24110000	Chr12	24253613	25.543
3	15903000	Chr03	15802676	37.497
9	8988000	Chr02	21036056	9.938
2	16093000	Chr02	15716579	7.581
8	3888000	Chr04	8763300	5.362
8	3489000	Chr08	1578008	5.138
1	28827000	Chr01	28617598	23.706
5	2333000	Chr05	4307013	5.504
8	16874000	Chr08	17134736	16.153
9	7753000	Chr09	8073607	22.208
6	2326000	Chr06	2454593	36.862
1	31855000	Chr01	30225591	6.38
2	19503000	Chr02	19548055	27.48
6	1699000	Chr01	6538816	6.148
9	19295000	Chr09	19410435	21.749
1	7393000	Chr07	26448756	7.658
3	21239000	Chr08	17167263	20.004
3	26450000	Chr03	26573711	12.498
6	2766000	Chr06	14765648	36.01
4	23245000	Chr04	30890481	6.716
4	1258000	Chr03	23744002	5.831
5	17177000	Chr01	34317754	10.612
6	12491000	Chr06	13913113	7.93
6	2236000	Chr06	2305552	11.594
9	6937000	Chr06	9262707	5.457
7	26930000	Chr11	1736463	5.345
3	266000	Chr03	269017	40
1	32244000	Chr01	32293578	40
9	19176000	Chr09	19649764	7.705
1	35076000	Chr10	20049634	24.392
4	30154000	Chr04	30197597	5.644
4	1228000	Chr04	1230958	21.493
3	9529000	Chr03	8608133	10.211
8	5265000	Chr04	23237882	34.86
6	3582000	Chr06	10405346	5.255
11	23232000	Chr11	21988619	6.434
7	0	Chr07	138422	11.681
11	800000	Chr11	959699	15.842
2	2828000	Chr02	3036826	17.269
8	5461000	Chr08	5698146	20.262
2	31990000	Chr12	7708180	5.761
11	17015000	Chr11	17117992	20.511
7	121000	Chr07	136539	14.336
8	25509000	Chr08	25493164	40
12	14677000	Chr12	8363856	15.403
6	3060000	Chr06	3069203	31.776
3	16915000	Chr12	7521998	5.547
9	8726000	Chr02	5198658	14.573
12	14677000	Chr12	14965878	20.693
6	1367000	Chr06	1437135	25.733
1	32244000	Chr01	32809395	8.485
11	27839000	Chr11	27702501	13.488
12	10802000	Chr12	25899607	36.688
12	22597000	Chr12	23141749	16.563
9	9520000	Chr07	29071704	5.733
3	368000	Chr03	269628	15.921
12	16464000	Chr12	16601205	18.905
9	1319000	Chr09	2459587	25.544
1	38368000	Chr03	34366419	5.005
1	6041000	Chr01	6127515	37.558
5	21939000	Chr03	13137839	13.279
7	28058000	Chr07	28059736	23.674
7	8934000	Chr07	9259652	27.225
8	6041000	Chr08	8024505	11.926
12	16464000	Chr12	17013611	5.611
4	30173000	Chr04	30231544	22.816
5	22217000	Chr08	11974105	15.182
5	17975000	Chr03	13124776	15.959
3	10778000	Chr03	11267672	8.913
6	1207000	Chr06	1272057	40
6	6928000	Chr06	6987369	36.505
5	15064000	Chr05	14327050	32.594
5	10351000	Chr05	14161147	13.474
10	8285000	Chr10	9077429	40
9	9520000	Chr06	11254711	7.603
1	30078000	Chr01	30029352	5.08
9	19550000	Chr09	19726182	12.711
12	21761000	Chr12	21781184	10.941
11	2927000	Chr11	3026459	38.216
9	7961000	Chr09	17917171	12.01
12	14549000	Chr12	14628896	33.187
8	18415000	Chr06	9937438	5.898
2	18697000	Chr02	18810147	13.469
6	8765000	Chr06	8098777	23.459
5	14421000	Chr06	26541715	6.106
9	8726000	Chr04	14786886	7.631
5	21417000	Chr03	24646685	9.761
9	18819000	Chr09	18821752	11.971
6	30501000	Chr08	2172579	5.567
8	26109000	Chr08	26173845	31.612
8	2785000	Chr08	2792301	6.286
6	23504000	Chr04	28459444	12.348
1	23456000	Chr01	23535507	24.177
9	18307000	Chr09	18206739	23.615
6	4869000	Chr02	26162904	8.574
9	8160000	Chr02	9902471	15.224
6	25091000	Chr06	25344834	9.109
2	18644000	Chr02	18978177	5.172
7	0	Chr07	137813	14.619
1	23456000	Chr01	23521280	26.404
11	2927000	Chr06	13271529	9.784
8	20203000	Chr08	19848559	15.907
10	5465000	Chr10	10161165	24.04
9	20374000	Chr05	15024040	12.813
5	684000	Chr05	774908	23.385
1	6233000	Chr01	5328393	5.862
5	21090000	Chr02	23043517	6.826
8	1071000	Chr08	1062048	10.612
2	6387000	Chr02	6404835	10.633
9	10833000	Chr09	11775124	26.218
10	13050000	Chr08	5736051	11.705
10	10387000	Chr10	11189003	20.401
8	5461000	Chr08	5656430	25.683
11	16778000	Chr11	16893836	20.079
2	7838000	Chr02	8258946	33.454
8	19197000	Chr08	18830150	18.036
4	22353000	Chr01	25378945	7.519
9	19270000	Chr01	34570607	5.622
2	0	Chr01	25184828	5.556
5	4188000	Chr06	22062478	21.369
9	9520000	Chr06	23890521	5.996
3	29654000	Chr09	15803073	5.214
6	4023000	Chr02	23254995	5.395
6	28467000	Chr06	28655888	5.68
9	10833000	Chr03	25259483	5.711
3	17420000	Chr02	29241545	5.927
9	7753000	Chr10	17832596	11.565
10	9357000	Chr10	9959505	13.542
3	266000	Chr03	271968	13.655
2	10189000	Chr02	10397265	26.342
5	21427000	Chr09	12099164	7.97
6	1860000	Chr06	1972910	20.546
4	23342000	Chr01	5599791	5.709
2	18531000	Chr10	18306308	22.316
2	8015000	Chr02	8097475	15.075
6	27797000	Chr06	27926483	15.818
2	8015000	Chr02	8096855	25.916
5	21090000	Chr06	18967505	17.258
9	19240000	Chr03	1206664	6.561
3	18076000	Chr07	138426	13.229
5	20733000	Chr05	20601178	40
11	11666000	Chr11	15819251	13.403
9	9520000	Chr12	5096396	11.669
4	25728000	Chr10	2734364	5.487
4	22353000	Chr04	22336441	31.545
7	25138000	Chr05	11712195	6.006
2	31549000	Chr02	31484555	10.754
1	30194000	Chr01	30377426	30.357
1	13279000	Chr01	13487449	19.937
3	266000	Chr03	271082	40
11	223000	Chr01	1721397	5.325
10	18269000	Chr09	4572702	6.607
10	12974000	Chr10	13033299	10.835
11	5848000	Chr11	3270378	5.751
10	22732000	Chr10	22999050	21.164
1	12367000	Chr01	12497978	23.563
6	28969000	Chr06	28997632	27.491
1	15493000	Chr01	19134956	16.972
2	4993000	Chr02	4985082	16.177
3	266000	Chr03	272041	21.938
11	10947000	Chr11	8948651	6.141
4	30085000	Chr04	30106852	31.095
4	13347000	Chr04	13550623	20.685
11	19557000	Chr11	19676035	5.993
8	2785000	Chr02	24216253	6.579
6	21718000	Chr06	22006672	19.29
9	8160000	Chr01	26169008	10.419
1	24075000	Chr01	24120840	18.643
4	22610000	Chr04	22746659	19.741
1	23456000	Chr01	23533556	12.232
4	18829000	Chr04	11515903	5.527
2	15886000	Chr02	15356434	6.704
12	7654000	Chr12	8379359	24.615
9	8160000	Chr12	26339747	13.259
4	19327000	Chr04	19203511	18.889
2	771000	Chr02	803991	29.006
9	16360000	Chr09	16139497	24.164
6	21718000	Chr06	22006679	25.55
5	22334000	Chr09	13544377	9.756
9	19550000	Chr09	19735702	26.293
3	24681000	Chr03	24861253	24.1
3	17189000	Chr12	26339776	9.095
8	20926000	Chr02	27721863	7.06
9	135000	Chr09	1313444	6.398
2	3493000	Chr11	8422979	5.198
4	22353000	Chr04	22351256	27.064
9	7828000	Chr07	3966278	16.363
6	796000	Chr06	849352	33.265
10	15870000	Chr06	19407210	5.528
10	17931000	Chr08	1210095	6.649
4	21062000	Chr11	17643563	8.387
5	16828000	Chr05	16960218	20.778
9	10160000	Chr12	26345213	5.496
8	10540000	Chr08	13911969	8.383
5	1312000	Chr05	1534122	7.335
11	10094000	Chr11	14845539	6.28
1	26244000	Chr02	32469114	5.484
2	841000	Chr02	914537	28.781
11	19277000	Chr11	19307965	40
12	25637000	Chr12	25727547	16.57
11	18431000	Chr11	18586211	21.218
12	19116000	Chr12	19240208	11.394
1	40471000	Chr03	34089870	4.893
4	23006000	Chr03	20181261	6.128
3	27561000	Chr03	27595005	5.231
11	28814000	Chr11	27260689	10.763
5	5253000	Chr05	5359809	13.545
5	10351000	Chr07	137242	5.05
3	14602000	Chr03	14649548	17.367
4	30614000	Chr04	30867744	26.123
4	1008000	Chr02	28345489	11.339
3	368000	Chr03	268400	28.741
8	3017000	Chr12	10787674	7.279
4	18244000	Chr04	18387988	38.383
2	8015000	Chr02	8122295	25.05
1	18530000	Chr01	18748451	11.502
1	33843000	Chr01	34173000	29.602
12	25385000	Chr12	25504270	7.28
3	18076000	Chr11	15608546	14.402
2	9598000	Chr02	9902492	12.544
7	28078000	Chr07	28049638	7.494
1	11560000	Chr10	14862597	6.785
3	18076000	Chr03	21191027	14.785
4	18172000	Chr04	18380672	31.452
3	13077000	Chr03	13662998	15.074
2	19503000	Chr07	978089	16.972
11	10686000	Chr11	2581368	7.241
2	16460000	Chr02	17083112	13.808
5	8268000	Chr04	25401940	5.887
3	35142000	Chr03	35155732	15.808
9	1319000	Chr09	3797095	25.421
9	8988000	Chr01	40582948	12.66
9	10748000	Chr02	10968473	5.31
6	10823000	Chr02	22898670	21.159
9	1319000	Chr04	32059184	30.569
3	35142000	Chr03	35212459	8.192
1	35135000	Chr11	22627492	26.438
6	2766000	Chr06	2641879	15.976
8	7208000	Chr08	6180697	29.723
12	8862000	Chr10	22740039	24.024
6	8454000	Chr04	20603097	26.733
1	31035000	Chr01	31063518	18.374
9	10748000	Chr09	10104500	10.699
12	21761000	Chr12	21790726	14.144
3	2214000	Chr08	20688029	5.691
10	19375000	Chr10	19420855	40
1	35543000	Chr01	35694108	22.594
9	9520000	Chr10	21061543	6.917
12	14549000	Chr12	10974435	25.217
2	31652000	Chr02	31526579	16.75
8	9352000	Chr08	9928820	18.727
9	5631000	Chr09	5897523	24.742
6	3364000	Chr06	3185809	8.574
3	28422000	Chr03	28291374	22.511
12	16367000	Chr12	17414087	13.157
5	21427000	Chr08	4719376	10.524
9	20283000	Chr04	31469794	8.905
8	3514000	Chr08	3489812	10.284
11	5567000	Chr11	5624993	22.122
11	1658000	Chr05	21464702	8.71
5	27444000	Chr05	27600315	25.081
1	39110000	Chr01	39153212	7.421
1	566000	Chr01	56659	30.782
9	9520000	Chr04	26515864	5.667
4	23342000	Chr12	9356846	6.911
11	18665000	Chr11	18672121	14.569
1	32107000	Chr01	32241078	36.293
10	3525000	Chr10	4023294	40
9	8988000	Chr05	26049729	14.912
3	22493000	Chr03	271228	8.235
5	21417000	Chr08	20244404	5.774
3	17376000	Chr12	7522004	7.903
3	30934000	Chr04	18484037	6.654
11	23361000	Chr11	23327083	24.251
6	796000	Chr10	17085623	8.755
5	21438000	Chr10	11930194	8.357
7	12800000	Chr07	9268619	14.412
3	13077000	Chr03	13663033	19.788
1	5678000	Chr01	5610799	12.708
4	22610000	Chr04	22833157	31.134
9	1319000	Chr09	2214940	19.705
12	19563000	Chr12	19498579	6.445
9	17999000	Chr09	18055952	19.033
4	22445000	Chr12	7032169	8.145
11	25622000	Chr11	26176318	20.045
4	31427000	Chr04	31316549	8.946
3	28630000	Chr12	23336033	23.104
3	22756000	Chr01	26232064	17.135
4	31427000	Chr12	3777246	5.395
3	14076000	Chr07	22500046	6.129
12	23428000	Chr12	23484017	22.937
5	21939000	Chr03	25188266	6.43
3	16417000	Chr03	16149864	10.853
3	368000	Chr03	271933	13.659
9	1319000	Chr09	2187698	20.09
11	4294000	Chr05	20098558	5.263
9	18307000	Chr09	19595356	6.223
3	18076000	Chr03	271947	8.886
11	16778000	Chr01	15390166	6.441
9	22201000	Chr09	22236899	16.891
2	2105000	Chr02	2255545	27.978
2	18750000	Chr02	15829022	9.809
4	12722000	Chr02	33181721	5.253
4	22445000	Chr12	22281988	5.723
2	10748000	Chr02	10443951	9.849
6	4778000	Chr03	4834606	5.316
12	14549000	Chr12	12223303	21.863
3	266000	Chr03	271913	32.997
1	0	Chr01	197293	10.694
1	30470000	Chr01	30476883	32.445
11	9772000	Chr11	9754354	14.44
3	368000	Chr03	268257	21.66
8	24925000	Chr08	25190087	20.088
6	26850000	Chr10	7537639	8.821
3	9424000	Chr03	9512516	24.162
3	266000	Chr03	270532	9.15
8	24405000	Chr09	20162061	5.406
11	17015000	Chr08	28207016	6.019
3	266000	Chr03	272143	10.88
10	776000	Chr10	1211725	6.494
5	18971000	Chr05	18632635	7.956
5	21090000	Chr02	24724791	13.778
8	4067000	Chr08	4230944	12.019
2	30766000	Chr02	30605898	6.458
4	23245000	Chr04	23277734	18.51
11	23361000	Chr11	23445335	18.859
8	8028000	Chr08	8339748	25.681
9	8726000	Chr11	959741	7.173
9	8619000	Chr04	33718197	9.255
10	17931000	Chr10	17997016	23.051
2	19305000	Chr02	29256075	21.772
10	1316000	Chr05	2299232	6.965
5	1795000	Chr05	2105333	11.974
11	2953000	Chr11	2946456	9.155
4	22445000	Chr01	34611672	5.395
3	7878000	Chr03	8413033	30.779
3	24681000	Chr12	22566770	21.806
10	22454000	Chr10	22594661	20.536
6	7092000	Chr06	1275005	17.961
3	2160000	Chr03	2203842	16.579
2	19305000	Chr02	19392165	15.954
6	20468000	Chr06	20675556	11.175
11	1658000	Chr11	1894510	31.824
8	5265000	Chr08	5371386	22.479
1	9713000	Chr01	9975182	5.488
5	19047000	Chr05	19108348	21.176
1	32897000	Chr01	32963958	38.27
9	20548000	Chr09	20759456	25.029
8	20203000	Chr08	20244657	18.025
8	5394000	Chr08	5435391	18.92
10	13050000	Chr10	13045526	11.795
5	4188000	Chr05	4305691	32.983
3	28766000	Chr03	28906521	32.921
9	19240000	Chr04	26397739	5.514
8	20203000	Chr08	20243546	17.609
9	8988000	Chr01	37116777	7.67
6	641000	Chr06	665580	9.314
2	2105000	Chr02	2317388	38.336
11	10686000	Chr08	22453255	14.199
4	23245000	Chr04	6324645	6.149
1	35076000	Chr01	34896074	16.23
9	4353000	Chr09	5000577	12.048
11	3177000	Chr08	12129799	5.516
3	16417000	Chr03	16398730	31.02
2	15864000	Chr02	15895822	7.096
11	18782000	Chr11	18830647	14.957
3	28766000	Chr11	5946619	18.665
11	16778000	Chr11	10606923	6.609
11	21054000	Chr04	13252731	6.968
3	16915000	Chr03	16923376	26.002
1	32107000	Chr01	970804	25.431
6	1699000	Chr06	1971102	17.168
9	19176000	Chr08	2623235	5.227
1	14363000	Chr01	12374012	5.625
1	5320000	Chr01	5343825	23.414
5	18156000	Chr04	30618094	5.656
1	12773000	Chr01	13911287	16.484
12	19189000	Chr12	19287907	10.674
9	8961000	Chr05	29403452	6.077
10	13156000	Chr08	25382877	5.255
5	6214000	Chr05	6159294	9.688
7	28557000	Chr05	1567372	5.74
12	16258000	Chr12	10505907	9.168
7	0	Chr07	137288	11.915
2	34393000	Chr02	34392702	40
7	18148000	Chr07	18218585	30.521
3	23484000	Chr01	40646077	5.593
1	5489000	Chr01	5478146	9.328
9	7961000	Chr07	8833028	9.04
2	6387000	Chr05	17904309	33.406
5	21939000	Chr05	20164954	12.138
8	19452000	Chr08	19613240	12.412
2	9924000	Chr02	9902463	18.604
11	25169000	Chr11	25175155	21.224
11	8863000	Chr11	8412900	30.96
11	18665000	Chr11	18804926	17.615
2	9924000	Chr02	10221310	19.796
8	26521000	Chr08	26497312	13.04
4	21866000	Chr03	9964890	5.532
6	8454000	Chr06	8851843	9.42
5	27080000	Chr07	19346949	5.398
4	15935000	Chr03	11891675	5.491
11	21756000	Chr05	6638914	8.286
10	17466000	Chr10	17887031	23.627
1	31703000	Chr01	31733547	23.164
5	24719000	Chr05	25093219	5.328
12	7654000	Chr12	8071530	24.969
8	24925000	Chr07	14798858	5.926
11	20643000	Chr11	20785096	18.376
10	14719000	Chr08	2195872	5.469
5	16588000	Chr05	17041447	7.291
5	22634000	Chr11	7594787	8.26
12	19477000	Chr12	19312807	21.744
9	7828000	Chr04	23345898	8.34
12	26698000	Chr12	26274062	10.857
3	22756000	Chr03	22584697	28.993
6	2593000	Chr06	2752595	11.009
11	20643000	Chr11	20801415	18.659
6	13828000	Chr06	16646663	18.793
6	8765000	Chr06	8098776	21.903
9	10748000	Chr01	38603826	5.039
11	5836000	Chr11	5666344	28.904
8	5117000	Chr06	30268170	6.605
2	16555000	Chr02	17433647	16.262
11	28814000	Chr11	28933586	5.539
1	34683000	Chr03	29572611	5.6
11	703000	Chr04	32960771	6.093
2	19863000	Chr05	6419329	40
6	21533000	Chr06	23769331	7.479
6	607000	Chr06	665629	8.197
9	18364000	Chr09	18415625	12.757
8	24429000	Chr08	24915553	24.011
3	266000	Chr03	271456	40
9	20212000	Chr09	19878122	6.857
1	31703000	Chr01	32025568	24.288
6	29672000	Chr08	25718920	6.116
9	7961000	Chr05	7178374	11.766
7	28412000	Chr07	3686159	5.284
1	8690000	Chr01	11851465	5.367
4	22610000	Chr11	26297306	10.175
6	10697000	Chr06	11021424	22.614
12	8862000	Chr12	14832124	13.808
1	30891000	Chr01	31099033	40
9	0	Chr07	137799	6.698
3	266000	Chr03	270735	9.121
4	31098000	Chr06	14296637	5.713
9	19450000	Chr09	19305261	9.716
11	22049000	Chr08	26211749	5.318
9	19550000	Chr09	19769306	23.509
2	15864000	Chr02	15490708	6.638
9	20212000	Chr09	19840610	11.924
5	21438000	Chr02	15976401	7.203
6	6765000	Chr06	6915100	29.652
3	30280000	Chr01	7259168	6.598
12	10741000	Chr05	24369803	14.387
3	18076000	Chr03	269719	8.302
3	266000	Chr03	268653	28.506
3	29182000	Chr03	28787711	13.591
2	9141000	Chr02	10095661	21.926
3	32010000	Chr03	33469943	5.746
9	22395000	Chr09	22541139	26.024
5	22634000	Chr08	23084959	9.548
3	28766000	Chr03	28838986	35.445
2	16555000	Chr02	17082695	20.333
9	8726000	Chr09	8515743	27.23
1	10925000	Chr01	10933738	9.449
3	35277000	Chr03	35301421	20.227
2	2647000	Chr02	2776097	17.006
1	43066000	Chr01	43222470	14.309
12	24156000	Chr12	24225188	15.566
3	27785000	Chr03	28235616	9.677
3	17420000	Chr03	20567666	27.188
5	17177000	Chr09	15337333	5.762
9	8961000	Chr04	26097518	12.769
8	22775000	Chr08	22837857	16.076
3	530000	Chr03	995290	12.128
1	35135000	Chr04	4560345	5.123
1	5762000	Chr01	5866966	16.628
12	8862000	Chr12	9336915	40
7	637000	Chr07	637020	6.977
10	5317000	Chr10	3704291	8.031
9	19450000	Chr09	20300315	24.084
5	27362000	Chr05	27388712	6.043
1	36271000	Chr01	36410571	31.477
9	8160000	Chr06	665632	13.545
8	20623000	Chr08	20612517	14.087
9	9369000	Chr11	19218779	9.314
10	14641000	Chr10	14650715	19.866
8	27324000	Chr01	34671184	6.76
1	43066000	Chr01	43238845	19.252
5	18411000	Chr08	4401563	5.975
1	1716000	Chr01	1726021	14.479
6	2326000	Chr06	2453242	14.475
1	30891000	Chr01	30927733	17.44
2	31549000	Chr02	31900754	8.518
2	2105000	Chr02	2417981	17.524
11	16925000	Chr11	6981289	6.852
7	16615000	Chr06	26356727	11.787
3	29441000	Chr01	26495475	5.341
8	26327000	Chr05	29027596	23.75
5	877000	Chr05	897720	7.009
3	12115000	Chr02	2017445	5.831
9	19550000	Chr11	1427355	6.215
11	25124000	Chr08	903664	6.081
7	18806000	Chr07	18871966	19.085
12	26698000	Chr03	4163571	16.665
2	29449000	Chr02	29426614	15.088
11	18947000	Chr11	18421203	7.013
2	9598000	Chr02	10072638	21.911
3	24681000	Chr03	24849101	22.682
5	0	Chr05	154694	26.611
3	28489000	Chr03	27760137	7.082
4	23342000	Chr07	8988961	7.585
9	8726000	Chr05	3660803	16.764
1	14118000	Chr02	7666235	7.309
7	6028000	Chr07	6026552	11.125
3	266000	Chr05	3057047	5.783
11	28867000	Chr03	1165043	5.149
4	21997000	Chr04	26154269	6.232
9	8726000	Chr03	11168020	11.762
12	11779000	Chr12	12384361	7.513
4	26298000	Chr01	23535507	5.362
3	12994000	Chr03	12724871	5.262
7	309000	Chr07	358331	29.446
2	28731000	Chr02	28888462	28.236
4	6939000	Chr04	11498379	5.888
9	9369000	Chr10	16139698	8.662
1	4412000	Chr04	16529194	14.826
4	19120000	Chr04	19247980	11.783
4	20764000	Chr04	20949053	13.147
11	26383000	Chr11	26407574	13.678
3	29804000	Chr03	29082345	7.881
1	33286000	Chr01	33764286	28.339
9	19270000	Chr09	19405649	15.459
2	19574000	Chr02	19600482	31.928
6	22532000	Chr06	22688982	18.112
11	26608000	Chr11	26959185	23.425
9	19295000	Chr12	25811449	8.988
1	23625000	Chr01	23835316	18.583
9	7828000	Chr06	21959885	6.991
6	23889000	Chr06	23925691	19.992
5	17008000	Chr08	21919982	15.702
7	4973000	Chr07	6035686	9.866
5	23180000	Chr05	23195601	25.134
2	18132000	Chr02	18419760	25.396
1	42958000	Chr08	21278991	7.286
1	42930000	Chr12	17786884	23.657
6	2236000	Chr06	2239433	13.644
8	5461000	Chr08	5854116	8.32
9	6587000	Chr01	3431361	7.519
8	18415000	Chr07	19527012	7.793
9	8514000	Chr07	18872953	14.972
3	33130000	Chr03	33763774	11.933
3	23971000	Chr03	23841415	13.814
3	11177000	Chr03	11178639	13.922
6	15809000	Chr06	16703663	22.067
3	266000	Chr03	272142	16.61
1	42052000	Chr01	42106533	5.778
3	35277000	Chr03	35301369	33.411
9	9369000	Chr05	27689846	10.815
3	266000	Chr03	269722	25.396
1	7393000	Chr01	8265024	7.666
9	20891000	Chr09	21099432	16.886
6	21282000	Chr05	17201655	5.732
3	368000	Chr03	268037	33.135
1	600000	Chr04	7503250	39.781
9	20063000	Chr09	19950587	24.34
7	702000	Chr07	788852	14.562
3	28670000	Chr03	29029202	9.073
7	23847000	Chr07	23847690	8.716
8	5265000	Chr08	5314435	37.033
5	21438000	Chr01	29959356	15.319
8	26861000	Chr08	26112359	5.268
4	804000	Chr03	30916337	19.778
3	26450000	Chr03	26507951	22.566
4	32655000	Chr04	31930629	5.976
11	3764000	Chr11	3851273	20.757
4	34295000	Chr04	34645853	17.479
1	1148000	Chr04	11343796	6.611
3	26585000	Chr03	26665561	14.059
2	8015000	Chr02	12964436	24.818
8	5983000	Chr01	20082462	6.744
11	2953000	Chr11	3090116	11.156
6	26269000	Chr06	26442290	24.984
3	5622000	Chr03	5769446	16.257
9	6901000	Chr02	22110702	12.09
12	24156000	Chr12	24238824	39.318
12	1166000	Chr12	428062	11.672
1	30502000	Chr01	30531097	27.733
2	15886000	Chr02	16001323	20.318
6	25213000	Chr06	25475578	14.807
4	24563000	Chr04	24248374	10.038
6	5244000	Chr06	5265057	15.946
10	4224000	Chr10	4510077	27.214
2	28731000	Chr02	28759370	25.592
1	31035000	Chr01	30720996	20.409
9	8002000	Chr11	10982589	10.684
10	22058000	Chr10	22072757	17.384
6	10369000	Chr06	10685179	22.885
5	2997000	Chr05	3041007	14.452
9	1319000	Chr09	4543768	22.714
5	5376000	Chr05	5509007	11.227
5	6511000	Chr02	26971153	5.443
7	0	Chr07	138486	23.712
9	8619000	Chr09	14599466	22.938
12	22597000	Chr12	22664313	22.874
1	30891000	Chr01	30864738	22.997
4	23342000	Chr04	6324674	5.304
9	17938000	Chr09	17985170	33.604
5	2185000	Chr05	2217418	29.939
6	2952000	Chr06	3171906	11.176
3	21239000	Chr03	271839	7.789
3	0	Chr03	270734	19.933
5	21090000	Chr05	25827634	7.348
1	30891000	Chr01	30697433	24.322
6	21497000	Chr03	34423482	5.474
7	637000	Chr07	667034	11.403
4	21787000	Chr04	21759222	20.349
1	40641000	Chr01	30500621	5.166
10	19947000	Chr10	19974324	16.266
7	0	Chr07	136805	12.527
3	3343000	Chr03	3341619	19.604
3	15585000	Chr03	15432118	34.014
4	30614000	Chr04	30764071	18.315
9	9520000	Chr04	19859279	5.775
1	23232000	Chr01	23148868	6.58
4	22610000	Chr03	3038880	6.148
7	20114000	Chr07	20230640	31.17
1	23678000	Chr08	22318517	19.153
9	8726000	Chr03	1142668	10.115
5	21427000	Chr11	3851200	11.675
1	33286000	Chr01	33302432	29.406
3	28766000	Chr03	29071637	6.966
4	22353000	Chr05	2933572	5.233
3	28766000	Chr07	15186008	40
9	7139000	Chr06	27666037	10.079
3	17836000	Chr03	21707049	27.339
6	2742000	Chr06	2743371	18.355
9	7828000	Chr08	8339773	10.565
3	23666000	Chr03	23670278	12.49
2	2571000	Chr02	2144365	32.079
8	26109000	Chr08	26268584	19.337
1	32897000	Chr01	32963958	32.475
3	266000	Chr03	271471	21.449
5	14421000	Chr06	2641820	14.334
6	2766000	Chr06	3552684	5.487
11	20804000	Chr11	20154593	32.621
9	8726000	Chr10	18758504	16.18
1	28616000	Chr01	28656808	6.19
5	22334000	Chr11	10086539	6.651
5	22660000	Chr05	22701959	22.484
6	3133000	Chr06	3130764	21.212
3	16185000	Chr03	16261379	23.357
5	6734000	Chr05	7058772	13.463
8	3124000	Chr08	3071847	21.825
8	24405000	Chr08	24913810	7.879
1	30891000	Chr01	30573298	32.572
9	942000	Chr09	1934228	7.857
11	27025000	Chr11	27258579	13.606
11	7038000	Chr03	5393386	5.265
1	32897000	Chr05	16206743	20.208
9	9940000	Chr09	9810540	23.743
10	22653000	Chr10	22584053	22.266
3	36092000	Chr12	104163	7.317
1	31035000	Chr01	30986640	20.175
3	368000	Chr03	271441	19.585
9	6587000	Chr11	20689071	19.717
4	22610000	Chr06	18149066	5.658
6	3364000	Chr06	23944426	5.627
3	24681000	Chr03	24874135	15.236
2	35755000	Chr02	35886424	8.718
5	17177000	Chr07	5818618	7.593
5	21939000	Chr04	25459864	5.806
3	21239000	Chr03	16493646	6.05
5	10351000	Chr05	9223129	18.04
5	23316000	Chr05	23545682	15.032
5	16562000	Chr09	9539153	11.442
7	121000	Chr07	644509	6.197
2	2828000	Chr02	3123481	18.968
8	8981000	Chr03	14581427	21.568
1	3444000	Chr01	3580602	12.158
3	266000	Chr03	271837	23.817
9	1319000	Chr09	4347250	40
6	3364000	Chr06	3569991	40
3	16915000	Chr03	16776441	34.641
9	9520000	Chr04	22369410	12.325
9	8726000	Chr09	8275278	26.977
8	26109000	Chr08	26211480	10.214
11	2689000	Chr11	3090129	8.272
6	4499000	Chr06	4802757	22.798
2	18071000	Chr02	18133074	14.547
1	32719000	Chr01	32786454	10.013
2	10189000	Chr07	25628537	12.467
5	8268000	Chr09	17901189	10.984
12	8862000	Chr12	9209360	16.707
1	1554000	Chr01	1597320	13.318
9	5631000	Chr09	15890269	6.165
1	35076000	Chr01	33305681	7.145
6	26269000	Chr06	26289497	29.613
6	20974000	Chr08	9349327	5.008
8	24429000	Chr08	25068500	7.465
11	24289000	Chr11	25156668	6.68
1	8690000	Chr01	8493967	8.417
9	898000	Chr09	1313447	6.769
6	517000	Chr06	594296	10.811
1	8690000	Chr08	157466	6.498
3	23571000	Chr07	138415	6.336
4	31388000	Chr04	31351145	10.742
1	32897000	Chr01	33178634	40
4	19120000	Chr12	23397807	6.599
