chrX	startX	stopX	chrY	startY	stopY
8	17741201	17742524	Chr12	9000765	8999430
10	10734812	10741145	Chr10	10213797	10220112
3	5829248	6012456	Chr03	6098251	6281453
7	12535696	12536123	Chr05	11112553	11112130
11	23910322	23923002	Chr11	21596403	21608940
11	27142799	27144983	Chr12	20614988	20612804
10	14092342	14093763	Chr06	11680055	11678630
4	10344248	10346667	Chr01	1629181	1631592
11	9487697	9487996	Chr11	12722141	12722440
10	1901700	1902115	Chr10	2198902	2199317
8	7794907	7829749	Chr08	7484856	7519705
7	26917123	26929998	Chr07	25883282	25896190
10	5178592	5178876	Chr02	21700119	21699841
10	18067476	18077814	Chr10	18169986	18180326
11	16952382	16954321	Chr11	16750510	16748570
4	1093890	1095134	Chr04	1340152	1341397
11	16975144	16978462	Chr04	2140684	2144031
3	19669492	19681498	Chr03	19086871	19098816
1	23153553	23181690	Chr01	22126405	22154650
7	20423878	20424057	Chr07	21969028	21968848
4	16338439	16346889	Chr04	15321886	15330302
4	29325314	29330497	Chr05	2140361	2135169
10	2937797	2938070	Chr12	22271950	22271676
8	15241462	15248918	Chr03	22152461	22159890
2	17013390	17017769	Chr02	17744861	17749246
7	25771424	25870843	Chr07	24742670	24842022
1	14008397	14010370	Chr01	14053727	14055720
1	14050350	14050987	Chr01	14204750	14205406
6	2317501	2322982	Chr06	2228505	2234053
1	2019231	2019553	Chr01	2072274	2072596
1	28985173	29052233	Chr01	28067838	28134874
1	32481721	32481844	Chr01	13044466	13044345
10	1905597	1907664	Chr10	2200224	2202292
11	28470614	28481273	Chr11	26740283	26750943
3	24249133	24249206	Chr04	19976001	19975928
10	10419579	10420030	Chr10	15981160	15981578
9	11766946	11767170	Chr09	9738258	9738033
5	12075973	12076548	Chr08	2972589	2972000
4	29177948	29182655	Chr04	28777313	28782062
9	1723812	1731302	Chr09	1903404	1895901
6	14975558	14979123	Chr06	13807174	13810732
4	3416708	3417405	Chr10	8741937	8742634
6	18729769	18742893	Chr06	17012794	17025919
3	23218815	23219393	Chr09	6748354	6748933
4	10179664	10267618	Chr04	10150360	10238266
7	8759918	8764019	Chr07	8066590	8070690
5	4027238	4027863	Chr12	7655780	7655154
11	22428917	22430974	Chr11	21376780	21378839
11	18339228	18340798	Chr08	3471195	3469622
2	488828	489340	Chr02	521048	520535
2	9857919	9859073	Chr02	10401371	10402518
4	30249076	30250078	Chr04	29869632	29870598
11	968657	969654	Chr11	937890	938928
8	344903	346367	Chr08	353250	354702
9	7856954	7857048	Chr09	6680438	6680532
3	21242787	21282732	Chr03	20390117	20430074
9	16774717	16776802	Chr09	15029747	15031832
2	2864456	2870184	Chr02	2914567	2920278
1	21326977	21329958	Chr05	19554725	19551720
12	3514647	3515819	Chr12	3637977	3639091
2	9292617	9297444	Chr02	9619862	9624740
5	28065532	28084726	Chr05	26406284	26425510
9	143964	145073	Chr12	15978121	15977006
3	16697117	16707496	Chr12	8797805	8808195
9	17663705	17675522	Chr09	15935778	15947571
12	7924481	7926492	Chr12	8398137	8400147
10	7043842	7044062	Chr10	4982031	4982252
11	23626854	23636365	Chr09	912567	922072
11	29697201	29697656	Chr11	27246035	27246490
3	28397004	28414225	Chr03	26487365	26504552
1	20602387	20605183	Chr01	34364690	34361924
1	904249	925077	Chr01	978510	999390
8	17072834	17073380	Chr08	19599081	19599627
8	18156277	18160815	Chr08	19364571	19369110
4	2150485	2168519	Chr04	2248926	2266923
12	25019413	25019746	Chr12	19469656	19469327
12	7160948	7164426	Chr12	19464605	19461097
8	18845122	18854770	Chr08	20061547	20071188
11	12488901	12496014	Chr11	11582077	11574984
1	22635036	22636071	Chr01	21622410	21623392
2	17178051	17185541	Chr02	17911303	17918793
12	13724400	13724857	Chr12	7901933	7901490
6	7211917	7212245	Chr06	6620274	6620588
9	839524	881972	Chr09	1105991	1148502
7	23595174	23595939	Chr07	1096485	1095717
12	20451078	20451461	Chr12	19445386	19445007
10	1899755	1902063	Chr02	13757621	13755322
6	16241964	16242763	Chr06	14710798	14711597
8	10769417	10770050	Chr08	4696233	4695600
3	22313224	22314411	Chr03	21456000	21457179
4	4033474	4033809	Chr04	4242881	4243218
11	17751277	17759363	Chr11	17678523	17686598
3	5102079	5109541	Chr09	16600669	16593248
1	23772663	23773752	Chr02	17351216	17350159
2	2153783	2177623	Chr02	2190192	2214117
4	3106178	3113906	Chr04	3332471	3340198
5	6496440	6498506	Chr05	6019692	6021758
9	1788419	1797190	Chr09	1849824	1858595
11	6873353	6875349	Chr11	6936073	6938069
11	12446908	12447014	Chr11	25150429	25150535
9	2773555	2779776	Chr09	3725935	3719676
12	999910	1042453	Chr12	1095897	1138403
9	3060588	3063995	Chr09	2903518	2906926
11	29009857	29010729	Chr11	26875013	26875875
12	6933694	6936672	Chr12	12985543	12982574
4	28594007	28594088	Chr04	11033492	11033574
7	6382744	6390225	Chr07	5780658	5788110
10	16364886	16371909	Chr10	16373802	16380748
8	18203551	18204734	Chr08	19434958	19436218
5	1008347	1050102	Chr05	1008838	1050581
5	26122597	26123059	Chr08	16647139	16646691
5	3033564	3035261	Chr08	6612030	6613723
8	24435766	24452977	Chr08	25419119	25436313
6	12843138	12846510	Chr06	11415181	11418551
6	2110290	2116132	Chr06	1992709	1998530
10	8987975	8991838	Chr10	8813886	8810022
6	16156136	16158181	Chr06	14622961	14625011
12	8318962	8319361	Chr03	25557465	25557069
6	572221	581357	Chr06	556653	565828
4	835261	836250	Chr04	1093892	1094881
11	15755884	15758336	Chr11	15733048	15735513
11	22729469	22730337	Chr11	21714497	21715381
8	18762860	18764822	Chr08	19978628	19980579
9	8100549	8102289	Chr09	9812123	9810362
3	21216414	21220475	Chr03	20365862	20369922
7	28483775	28492460	Chr07	8216585	8207895
5	7308641	7309541	Chr05	6750890	6751790
9	7902092	7902904	Chr11	20530628	20529832
12	7682138	7683004	Chr12	7648486	7649366
11	1094896	1099117	Chr11	1070041	1074250
9	641919	645110	Chr09	923605	926751
4	29502735	29502882	Chr04	29112510	29112657
5	1532935	1534050	Chr05	20375666	20376781
7	6314104	6314830	Chr12	18729599	18728873
6	18890236	18891741	Chr09	2783550	2782022
10	1923166	1924897	Chr10	2212042	2213667
10	7422377	7425999	Chr10	7018932	7022606
9	9122830	9123009	Chr09	7284932	7285111
5	26806664	26822829	Chr05	25161600	25177731
12	8788831	8790302	Chr12	9245152	9243671
5	26085434	26090557	Chr05	18957509	18952391
1	25735763	26322637	Chr01	24607901	25194752
12	21713638	21715469	Chr12	20253074	20254830
11	12319822	12320527	Chr11	11225533	11226223
3	24069789	24089105	Chr03	23252537	23271832
4	13796117	13799175	Chr04	13006461	13009495
8	18640934	18641985	Chr07	8531545	8530489
1	29739672	29741321	Chr01	28817932	28819567
3	25979402	25979810	Chr03	25617029	25617424
6	28072305	28073981	Chr06	8696437	8694763
8	12653947	12654514	Chr08	1657633	1658211
2	20342056	20345221	Chr12	23569781	23566614
8	24180283	24180586	Chr08	16985554	16985248
11	26569068	26569860	Chr11	25725893	25726722
4	20844494	20845217	Chr04	19812940	19813669
2	8076870	8077036	Chr02	20943027	20943193
3	13042313	13042773	Chr03	15658416	15658886
2	33258411	33259899	Chr02	33859162	33860642
1	11804595	11806036	Chr05	15762526	15761088
6	19705434	19713844	Chr10	13477793	13469396
11	16973148	16980423	Chr11	16732627	16725265
1	17765154	17861970	Chr01	17436648	17533472
5	16303044	16309014	Chr05	15170396	15176364
6	14494780	14499779	Chr04	29433838	29438837
10	1573672	1578141	Chr10	1688746	1693271
1	866333	877458	Chr01	941770	952871
11	25943900	25945267	Chr11	24829110	24830516
6	232052	276487	Chr06	219451	263908
12	24311046	24315015	Chr12	12468172	12464221
4	15598306	15598829	Chr04	14878507	14879029
11	27911423	27916241	Chr11	26639308	26644122
11	24767277	24767455	Chr11	23787628	23787806
7	8454647	8468069	Chr07	7840437	7853951
1	22636072	22636543	Chr01	2721307	2720819
11	27113078	27116060	Chr11	26138803	26141785
9	12149686	12150062	Chr01	5893847	5894223
1	16260909	16272705	Chr10	8989851	8978072
4	4098024	4099380	Chr04	11016817	11018146
11	7983474	7983686	Chr11	23945219	23945431
9	4269648	4273426	Chr09	2893971	2897764
11	11816921	11817204	Chr11	11307317	11307619
11	10548548	10559172	Chr01	32544109	32533470
11	15558588	15559439	Chr11	15488885	15489735
8	14123065	14125635	Chr09	5857182	5854616
5	11288332	11289584	Chr08	6980099	6978843
1	15695838	15696587	Chr10	9362398	9361624
7	12169633	12173712	Chr01	34081458	34085561
1	5624651	5626453	Chr01	6036828	6038629
1	12441946	12442420	Chr01	12601537	12602018
1	20605905	20631255	Chr01	19896116	19921463
2	19046559	19067081	Chr02	19712946	19733441
9	1877710	1888107	Chr09	1938994	1949326
6	13136639	13138139	Chr05	22516372	22514874
5	11460555	11463209	Chr10	10125136	10122485
8	25280130	25282884	Chr10	19587650	19584908
11	23449357	23454148	Chr11	22402639	22407457
2	8417351	8436460	Chr02	8675048	8694122
11	13454423	13456111	Chr11	13198209	13199916
11	30023322	30033884	Chr11	27356555	27367116
4	9103916	9109278	Chr04	16967985	16962634
6	15731257	15731893	Chr06	14306878	14307534
6	5918435	5919458	Chr06	5275104	5276135
3	17794171	17805493	Chr03	17444925	17456268
10	7888666	7889451	Chr10	7318638	7319423
2	18588957	18614148	Chr02	19125745	19150883
1	24609803	24614822	Chr01	23560279	23565294
7	6585351	6589497	Chr07	5985537	5989709
1	12443174	12443547	Chr01	12613974	12614346
3	12991617	13033869	Chr03	13230810	13273062
4	13283180	13284133	Chr02	13047691	13046737
5	7468334	7481273	Chr05	7025559	7038550
6	12008296	12019595	Chr06	15499577	15510842
4	16525009	16527867	Chr06	15920953	15918064
5	28921586	28921800	Chr05	24739918	24739696
10	8537401	8540591	Chr07	14816376	14813196
4	21839725	21840259	Chr04	21042038	21042573
4	16959548	16960617	Chr04	16066178	16067255
3	7828174	7834220	Chr03	8032077	8038119
5	20757810	20850502	Chr05	19273303	19365970
4	5186503	5187290	Chr08	6300375	6301168
1	14312542	14313286	Chr01	14564637	14565381
8	2486906	2487614	Chr08	2809990	2810681
11	28602343	28605329	Chr11	8109178	8112176
9	14945640	14947400	Chr02	33541017	33539230
6	3769505	3781852	Chr06	3254916	3267287
9	10097740	10097977	Chr09	8047431	8047673
3	15222116	15222225	Chr03	8404009	8403899
11	22533223	22544988	Chr05	25825020	25813256
9	7990985	7991067	Chr09	10590351	10590433
10	10160222	10160513	Chr05	11708399	11708112
5	4779506	4780012	Chr05	4261066	4261569
9	4096175	4096286	Chr10	351345	351456
8	16755497	16759620	Chr08	18010061	18014206
4	2067757	2070617	Chr06	15551571	15548715
9	5071368	5072109	Chr09	4346652	4347385
10	739841	745745	Chr10	926843	932811
10	7657578	7663225	Chr06	15153551	15147873
2	16218583	16221902	Chr02	16799446	16802759
1	14917185	14918713	Chr01	14964103	14965633
7	15300247	15300985	Chr09	2863489	2862751
11	25948538	25948747	Chr11	24832158	24832359
10	7769829	7775174	Chr02	13798992	13793647
11	1007753	1007887	Chr04	15898955	15898820
7	7195307	7674216	Chr07	6572154	7050984
3	24745561	24769462	Chr03	23858436	23882281
4	14920686	14925505	Chr04	14090795	14095603
10	6231200	6231580	Chr10	596705	597085
6	15440217	15444864	Chr06	20089736	20094388
4	23399554	23402911	Chr02	20078543	20081938
8	14321567	14343930	Chr08	15214060	15236410
1	10742024	10904598	Chr01	10953565	11116133
11	17569166	17569315	Chr11	17446466	17446612
8	23572810	23575778	Chr08	24506711	24509679
3	9383475	9412950	Chr03	9612002	9641480
3	25892561	25892857	Chr01	5705968	5706264
3	20099703	20100872	Chr03	19510644	19511814
12	23619796	23620270	Chr12	22077165	22077623
11	3869624	3870371	Chr11	3856627	3857373
6	9814650	9816346	Chr06	19088415	19090109
3	19175842	19184380	Chr03	18462673	18471214
3	8996267	8998089	Chr03	8515134	8516952
10	23487135	23491489	Chr10	23691728	23696075
1	41064810	41065344	Chr01	40499769	40500306
11	17594175	17594615	Chr11	17479292	17479731
1	664989	671379	Chr01	744793	751172
5	5978763	5978901	Chr05	5352806	5352944
1	13732362	13732714	Chr01	13767612	13767259
3	34258226	34466966	Chr03	31491793	31700498
12	16111606	16113840	Chr06	4838532	4840775
12	9691907	9707635	Chr12	10322749	10338468
2	8349481	8349689	Chr02	8606036	8606247
8	20144867	20145489	Chr08	14117346	14116725
4	13682333	13685689	Chr10	7097337	7100692
3	35352881	35356374	Chr03	32345515	32349004
1	1266922	1273861	Chr01	1308753	1315669
11	3549925	3555569	Chr11	3532848	3538495
4	315768	316316	Chr04	3263622	3264169
8	8388496	8389551	Chr08	8120662	8121687
11	27437367	27437477	Chr08	25211005	25210898
1	39020397	39022831	Chr01	38560148	38562612
1	35621841	35623329	Chr03	9706957	9705468
10	5920969	5959344	Chr10	6320694	6359020
9	4143363	4144587	Chr09	6614160	6612941
3	15318668	15341140	Chr06	20133440	20155833
3	23467265	23496857	Chr03	22466701	22496242
8	14910446	14910866	Chr08	16188977	16189397
2	9619722	9621694	Chr02	10156637	10158619
4	6656456	6656607	Chr11	25811488	25811338
5	28246866	28274569	Chr05	26606693	26634328
1	40887200	40887368	Chr01	40319820	40319988
8	4031223	4031443	Chr08	3738630	3738408
9	977649	985950	Chr09	1233258	1241496
3	33240216	33297789	Chr03	30395304	30452654
12	18048201	18048724	Chr04	29254013	29254493
5	12586331	12715786	Chr05	12003161	12132620
7	747683	750468	Chr07	315419	318231
7	17795893	17796162	Chr11	9734464	9734735
6	1638957	1641668	Chr06	1473772	1476485
10	7305133	7305990	Chr12	11370447	11369590
11	8382220	8387821	Chr11	7866018	7871615
9	5922983	5926129	Chr11	17076049	17072899
7	21988101	21988293	Chr03	13996462	13996252
5	2084030	2084304	Chr05	3466563	3466287
9	20488102	20490432	Chr09	18625879	18628192
9	11963411	11963828	Chr09	9930841	9931280
12	11452286	11452745	Chr12	14709436	14709895
3	36959467	37015188	Chr03	33632463	33688166
11	13553137	13554953	Chr08	10711997	10713812
7	24758880	24759427	Chr11	1755345	1754791
7	8444348	8450752	Chr07	7827224	7833639
3	26681573	26681639	Chr03	24720831	24720897
2	9302243	9304156	Chr02	17732121	17734043
12	23999238	24010455	Chr12	22550761	22561938
4	5658173	5659813	Chr04	14366025	14367678
1	40309523	40318123	Chr01	19423474	19432026
12	13276471	13277946	Chr12	13578169	13579645
6	21813511	21813816	Chr06	20375037	20375345
6	29228969	29230217	Chr06	4658897	4660150
9	16525528	16695797	Chr09	14762369	14932721
12	7503451	7503908	Chr12	7441461	7441917
3	21349079	21358484	Chr03	20511291	20520712
10	13811784	13828663	Chr10	13592445	13609245
2	30884291	30905892	Chr02	31332814	31354416
8	15239589	15239845	Chr08	4370304	4370045
5	24410183	24452967	Chr05	22573328	22616092
6	422569	423495	Chr06	400959	401883
10	1652462	1654411	Chr10	1785211	1787181
6	6474319	6474957	Chr06	5805772	5806432
3	11750743	11793081	Chr03	12326587	12368900
8	2455829	2456679	Chr08	2777107	2777957
1	14075691	14075833	Chr01	14261844	14261980
11	28191778	28195693	Chr11	26891466	26887488
7	16200611	16202620	Chr07	15335740	15337798
1	41005354	41008476	Chr01	12866146	12869266
12	14923406	14926374	Chr12	9020032	9017057
10	659889	662677	Chr10	824978	827754
5	27021537	27022637	Chr02	23774518	23773409
7	15853918	15877207	Chr07	15081353	15104707
11	27590508	27590654	Chr11	26775376	26775229
7	21331213	21335345	Chr01	13266097	13261975
4	13129902	13131027	Chr08	16843840	16844963
1	35515797	35662732	Chr01	34896964	35043914
9	7788327	7788924	Chr04	3730741	3730139
10	10687904	10705388	Chr10	10164703	10182208
3	24933886	24934787	Chr03	24115268	24114383
9	20132829	20135429	Chr09	18252494	18255130
11	10665881	10667915	Chr11	25651359	25649325
11	8527579	8529879	Chr11	8141128	8143428
10	5716807	5721951	Chr10	6760048	6754887
7	6655229	6666904	Chr07	6059077	6070789
11	13372691	13377698	Chr11	13088283	13093278
2	17250621	17251185	Chr02	33512053	33512618
11	913514	921365	Chr11	894020	901864
3	22063953	22073614	Chr03	21189558	21199222
6	7495249	7496665	Chr06	6973536	6975003
6	27641114	27649803	Chr06	26445486	26454180
1	2475763	2476395	Chr01	21373901	21374532
2	19379701	19380020	Chr02	26237763	26237444
2	28075932	28086053	Chr02	28317326	28327455
8	15483014	15483936	Chr06	15188423	15187496
4	16753462	16755818	Chr04	15800726	15803153
1	21592146	21598609	Chr01	20591362	20597813
11	23812914	23813498	Chr11	23097960	23098558
11	3512182	3514209	Chr11	3501323	3499281
12	19474619	19484486	Chr12	18582887	18592750
8	8006251	8016160	Chr10	8425025	8434908
6	19739365	19741088	Chr03	18944958	18946698
12	10322649	10323899	Chr08	13974756	13973507
6	22123440	22123821	Chr06	13050172	13050554
1	2614367	2614705	Chr01	2695514	2695852
10	1526872	1526961	Chr10	5695032	5694942
10	9699798	9700161	Chr10	9469314	9469677
6	20883454	20884505	Chr06	19238911	19239959
9	11044591	11044820	Chr12	14017477	14017704
4	12375576	12376181	Chr04	11566053	11566675
4	12390986	12397445	Chr04	15658532	15652110
9	924625	937343	Chr09	1170704	1183462
1	13038127	13038354	Chr01	13195985	13196220
11	3520103	3527737	Chr11	3502858	3510367
3	8873233	8875866	Chr03	18412700	18415320
8	14983360	14991161	Chr08	16226097	16233904
12	6846327	6852943	Chr12	6908930	6915554
6	4696656	4698050	Chr06	3884807	3886180
11	20535912	20537961	Chr11	11288942	11286902
4	7381448	7383669	Chr04	5965549	5967733
12	20981594	20981701	Chr12	3341605	3341711
6	13911664	13915563	Chr06	12758105	12762014
6	14196157	14208345	Chr06	13192972	13205147
1	27950279	27951485	Chr01	26830035	26831243
10	4298047	4299477	Chr10	4575872	4577313
10	6035720	6039291	Chr10	11570377	11573953
2	4425081	4425886	Chr02	33487127	33487933
2	30428198	30440580	Chr02	30881743	30894094
11	14113941	14132762	Chr11	14143666	14162572
11	5322367	5326893	Chr07	12701267	12696755
8	14540168	14546832	Chr08	15540621	15547301
10	2029974	2033738	Chr10	670183	673879
8	15340904	15349352	Chr04	2011352	2002926
3	23497674	23500854	Chr03	22613253	22610076
7	6067431	6072717	Chr07	5458012	5463375
1	26506704	26519556	Chr01	25368002	25380855
2	15932441	15938055	Chr02	16515066	16520686
4	2420561	2422915	Chr08	14812040	14809691
6	21032854	21038883	Chr06	19372701	19378699
9	19019071	19021628	Chr09	17241806	17244337
6	10145004	10148611	Chr06	22809410	22813011
11	13926162	14005758	Chr11	13879304	13958981
8	15435308	15477559	Chr08	16725723	16767983
10	7923410	7958662	Chr10	7331345	7366697
4	28645343	28645634	Chr04	28303680	28303970
8	5842994	5846960	Chr08	15518186	15514215
10	16990626	16990831	Chr04	13577684	13577479
6	21815590	21821215	Chr06	20391898	20397483
2	20049486	20062136	Chr02	20726180	20738847
6	6581992	6584380	Chr06	5946435	5948811
11	15525744	15527902	Chr11	15448709	15450873
3	15993063	15993990	Chr03	16007440	16008361
9	7076839	7081391	Chr09	5895511	5900049
3	20420354	20421864	Chr06	22200615	22199105
2	19457376	19465440	Chr02	20100360	20108357
5	24681910	24683651	Chr02	28417976	28416253
9	2337607	2343561	Chr09	2445179	2451132
12	823733	837484	Chr12	693583	679900
6	6607707	6608314	Chr06	5979598	5980222
2	31112616	31114587	Chr08	3415466	3413492
4	4660036	4660770	Chr09	1336550	1335806
1	4817588	4857186	Chr01	5233182	5272890
11	9381829	9382776	Chr01	35897177	35896204
2	2321776	2330793	Chr02	2409124	2418138
3	15355565	15356927	Chr08	10364569	10363218
8	6532231	6533724	Chr08	5717783	5719277
11	783859	787534	Chr11	24150913	24154499
10	5292930	5293431	Chr06	12053763	12053261
11	6933116	6935126	Chr11	5844130	5842108
2	18069407	18072384	Chr02	18603360	18606352
1	22062127	22065078	Chr01	21083236	21086198
11	12099352	12115090	Chr11	10970016	10985795
8	3561913	3563866	Chr08	3311608	3313530
8	24227680	24240172	Chr08	25196669	25209208
7	17072647	17072794	Chr07	16244178	16244327
11	9487993	9488940	Chr11	12722804	12723738
11	13550039	13555006	Chr11	13357747	13362766
3	9918523	9919876	Chr03	10157378	10158731
6	13415550	13417925	Chr04	9204418	9202055
1	22336577	22337401	Chr03	26227517	26228349
1	5123535	5124327	Chr01	5508691	5509483
4	1640523	1640770	Chr11	21912094	21911848
6	21915874	21916937	Chr06	20460203	20461267
11	10284726	10285950	Chr11	20921575	20920352
12	20537787	20541799	Chr12	11299802	11295768
6	20069859	20074702	Chr01	18927819	18922974
11	12406560	12410309	Chr11	11642770	11639041
6	24785577	24823252	Chr06	23661102	23698783
11	23992762	23993815	Chr11	13128515	13129568
1	22731156	22732171	Chr01	21723349	21724396
11	15290991	15296906	Chr11	15218456	15224391
1	32770964	32772962	Chr01	32162351	32164375
2	1978057	1979851	Chr02	1995571	1997366
4	17672092	17673206	Chr04	17022527	17023638
1	11617098	11622057	Chr01	11835560	11840505
8	7923819	7925703	Chr08	7588014	7589978
1	13874403	13883724	Chr11	7860588	7869931
3	30566011	30607642	Chr03	28138775	28180461
2	8069032	8069176	Chr02	8241612	8241765
3	1152483	1152706	Chr04	29070550	29070780
11	15685043	15737402	Chr11	15654494	15706854
10	8563784	8583413	Chr10	7976408	7996016
3	480276	480479	Chr08	6842540	6842337
10	302236	304613	Chr10	500266	502644
11	7042231	7052679	Chr11	20016097	20026531
1	34070899	34073188	Chr11	9225180	9227478
3	8982458	8996268	Chr03	9173328	9187071
12	8355249	8355885	Chr12	8767072	8766436
4	877275	878862	Chr04	1017410	1018999
8	6746487	6750906	Chr08	5506558	5502140
2	8215657	8218681	Chr02	8496842	8499809
11	20034296	20039852	Chr11	19407068	19401539
11	11206582	11208392	Chr12	12308786	12306982
4	20647011	20652748	Chr04	2725647	2731376
4	8274728	8276459	Chr11	14555443	14557159
6	18637118	18639140	Chr06	16879388	16881411
2	1842849	1846900	Chr08	23828115	23824058
3	18136240	18137167	Chr10	15155530	15154622
3	18195686	18196538	Chr03	33080835	33081686
3	18759475	18761846	Chr03	18178699	18176327
9	4068654	4069684	Chr09	3770506	3771554
11	7441796	7581758	Chr11	7136798	7276663
2	14462076	14462329	Chr07	9506989	9506737
7	25331288	25349030	Chr07	24288360	24306123
3	15174109	15176538	Chr03	15134194	15136630
9	9422500	9643944	Chr09	7422233	7643632
1	34294943	34312151	Chr01	33651786	33668942
6	27480078	27524365	Chr06	26276247	26320539
1	38906503	38991072	Chr01	38451994	38536505
7	8858890	8864869	Chr07	8216586	8222621
8	16094533	16094913	Chr08	14858628	14858248
1	32313048	32313664	Chr01	31608058	31608675
4	18053180	18139495	Chr04	17392464	17478696
10	8934330	8939769	Chr10	8778093	8783532
5	19520086	19531395	Chr05	25513387	25502045
3	18477845	18478721	Chr11	16091099	16091993
1	33583321	33586444	Chr01	32887887	32891004
2	11549176	11550961	Chr02	12149671	12151471
5	21677457	21678403	Chr09	3965835	3966779
10	22976790	22982237	Chr10	23229645	23235084
6	6366625	6399623	Chr06	5689568	5722553
4	21723264	21725725	Chr04	20916102	20918563
5	24814252	24818350	Chr02	22367526	22363438
1	2414452	2416843	Chr01	2497041	2499484
6	3145279	3145596	Chr06	5897624	5897950
1	13433375	13445718	Chr01	13487686	13500109
9	11822139	11823097	Chr09	9767204	9768142
10	9130573	9132598	Chr10	8958118	8960127
1	2017430	2018690	Chr01	4936477	4937741
1	14139215	14140699	Chr01	14308352	14309838
5	13715478	13716007	Chr02	529449	529952
8	7980105	7993208	Chr08	7643103	7656215
7	8294396	8295782	Chr07	7673912	7675306
3	15648256	15652557	Chr03	15591860	15596184
8	20067245	20067481	Chr08	4812544	4812767
4	18050232	18050467	Chr04	17387925	17388153
3	27390257	27425295	Chr03	25426102	25461150
10	23464460	23465922	Chr10	23664301	23665779
1	16725517	16730153	Chr01	16583175	16587779
12	14969394	14974533	Chr12	14113015	14107858
8	16288738	16291759	Chr06	15708987	15712002
10	3379564	3388944	Chr10	3778640	3788009
6	2171523	2184929	Chr06	2096689	2110054
10	2014700	2015602	Chr10	8613244	8612359
6	24109853	24111626	Chr06	14157249	14159019
12	16119010	16121034	Chr12	15170033	15172081
6	11879389	11885757	Chr08	9412558	9406148
3	34528762	34574494	Chr03	31762296	31808044
1	30057800	30068303	Chr01	29104292	29114852
8	3500546	3501494	Chr08	3253223	3254172
3	6999423	7003205	Chr03	22123642	22127422
7	12374826	12375268	Chr11	19330513	19330955
8	7480972	7482459	Chr08	7149721	7151207
1	22730423	22730932	Chr01	21722558	21723067
7	6691593	6693544	Chr07	6090386	6092338
11	12940659	12942924	Chr11	12359974	12357707
9	14055936	14116406	Chr09	12233827	12294306
11	19858748	19871663	Chr11	22545362	22532459
1	2306539	2307338	Chr01	2375997	2376749
8	6859621	6864691	Chr08	6331306	6336429
2	16293830	16299258	Chr02	16873112	16878474
11	22537732	22547983	Chr11	21491091	21501279
7	17631166	17635326	Chr07	16770608	16774741
3	7037163	7048487	Chr03	27886910	27875587
11	7164731	7165116	Chr11	6965244	6965629
8	4843569	4845871	Chr08	4409731	4412038
9	12527843	12790720	Chr09	10773816	11036718
6	4028705	4030330	Chr07	15954375	15956003
12	16654077	16654541	Chr12	15486104	15486568
5	7483673	7483879	Chr05	23516795	23516600
9	2989515	2990275	Chr09	2802659	2801900
11	12832024	12832506	Chr11	16745117	16745598
9	3936927	3937076	Chr01	32154810	32154661
7	23138367	23138666	Chr04	12978840	12978540
5	533164	536786	Chr05	553841	557504
2	2798136	2821295	Chr02	2849348	2872585
2	19537142	19541521	Chr02	20184845	20189225
9	9707644	9708587	Chr01	9272244	9271302
1	8899438	8902857	Chr10	6822834	6819426
2	16938369	16939755	Chr12	7655780	7654392
10	12274370	12317956	Chr10	12022968	12066418
7	10634974	11129647	Chr07	10265715	10760376
11	2978270	2981986	Chr11	2994180	2997884
8	16113833	16115072	Chr01	39037577	39036352
3	19445698	19447102	Chr03	18907456	18908859
4	2633696	2633874	Chr04	2951918	2952095
12	17156767	17157087	Chr12	15116568	15116893
1	19437879	19439941	Chr05	12440824	12438762
9	8189182	8195735	Chr09	6780675	6787270
6	14570087	14574013	Chr06	13356574	13360486
12	5376362	5806315	Chr12	5357536	5787508
11	22555746	22558695	Chr11	13039151	13036200
11	4555642	4563853	Chr04	3391720	3383525
9	9101582	9104317	Chr09	7266580	7269332
3	27189977	27390295	Chr03	25225716	25426062
2	17328717	17329471	Chr02	378880	378124
3	13560374	13632313	Chr03	13567373	13639302
2	20712313	20714193	Chr12	15966268	15964389
5	2953409	2955062	Chr05	2639267	2640892
2	17902014	17903579	Chr05	15032590	15031024
4	10156868	10158267	Chr04	5836503	5835102
8	7102870	7103190	Chr08	6559419	6559742
1	30392382	30423893	Chr01	29450324	29481737
2	18558370	18559264	Chr02	19090554	19089647
11	376763	379761	Chr04	16671987	16675009
7	14645483	14647390	Chr12	19991724	19989809
5	9551203	9553454	Chr03	18781604	18779347
6	10242664	10245364	Chr06	8719240	8721941
1	29132221	29157443	Chr01	28218116	28243383
7	1859831	1862604	Chr07	1656539	1659322
3	21361636	21365117	Chr03	20520707	20524171
6	6031969	6032896	Chr06	5391630	5392557
2	17095036	17108363	Chr02	17824728	17838131
1	2669219	2669865	Chr01	2746692	2747326
8	16293718	16295180	Chr04	6816866	6815403
6	1641909	1642156	Chr06	22883499	22883240
8	13264833	13378004	Chr08	13671550	13784724
1	18984464	18990068	Chr01	18712654	18718246
11	15115460	15118576	Chr09	6417670	6414519
3	36030050	36031087	Chr03	32884201	32885237
5	23593793	23594795	Chr01	16746938	16745936
2	843490	865422	Chr02	869616	891532
8	17818661	17844488	Chr08	19075318	19101150
12	15246269	15246897	Chr12	14436334	14435707
2	30656355	30676180	Chr02	31114197	31134029
1	24266078	24269413	Chr10	15609042	15605673
3	19348392	19360573	Chr03	18626097	18638263
